; Character Name Pointer Table

; Male (Human/Demihuman)
0x8D5C	Abel
0x8E25	Abraham
0x8D53	Adam
0x8D69	Albert
0x8D77	Albrecht
0x8EBB	Aldrich
0x8D80	Alex
0x8D70	Alfred
0x8D85	Allen
0x8D61	Amalgan
0x8D93	Anderson
0x8DA9	Andre
0x8D9C	Andy
0x8D8B	Anthony
0x8DA1	Antonio
0x8D3C	Arnold
0x8D58	Axe
0x8D4C	Aylton
0x95EE	Badham
0x9618	Balone
0x961F	Bancroft
0x95F5	Barius
0x95AD	Barney
0x9611	Baroth
0x9601	Barsazal
0x9599	Bass
0x95D9	Bathkirk
0x95CC	Baxter
0x9685	Bean
0x97F3	Becker
0x980A	Belger
0x9803	Bemond
0x97FA	Benedict
0x9590	Berekely
0x95B4	Bern
0x95A5	Bernard
0x97E8	Bete
0x9837	Beuville
0x968A	Bigsby
0x9698	Bikke
0x96A4	Bill
0x95C6	Bison
0x969E	Bitoh
0x9773	Blacke
0x976C	Blacks
0x9765	Blacky
0x97AD	Blake
0x9851	Bobson
0x984C	Bogy
0x9862	Bonap
0x9846	Bowie
0x9780	Bradbury
0x9789	Brandell
0x977A	Bratt
0x9792	Breed
0x9758	Brian
0x97B3	Brody
0x97B9	Bronson
0x97A4	Brookner
0x975E	Browne
0x9798	Bruce
0x979E	Bruno
0x97C1	Brute
0x95D3	Bugsy
0x95C0	Burns
0x959E	Burton
0x95E2	Buster
0x95E9	Buzz
0x91B3	Caesar
0x8F00	Cain
0x90D2	Caine
0x8F4A	Callahan
0x8F6E	Calvin
0x8F44	Camus
0x8F3D	Caplan
0x8F53	Carabel
0x8EEA	Carlos
0x8F75	Carlos(2)
0x8EE2	Carlson
0x8FD1	Carmen(M)
0x8EDA	Carmine
0x8ED3	Carpen
0x8FD8	Carrot
0x8F12	Cassius
0x9318	Cervan
0x93AA	Charles
0x93A2	Charley
0x9394	Chips
0x904B	Chris
0x93B2	Chuck
0x9037	Clarke
0x9076	Claude
0x9068	Claybe
0x906F	Clever
0x903E	Clive
0x9044	Cloudy
0x9103	Cohen
0x911D	Collins
0x9117	Conan
0x9032	Cook
0x910F	Costner
0x9051	Cris
0x9061	Cruise
0x905B	Crynn
0x8FDF	Cube
0x8F21	Custer
0x921A	Cymbal
0x9356	Daisun
0x9382	Dali
0x9402	Dame
0x936C	Daniel
0x9373	David
0x9425	David(2)
0x9379	Davidson
0x941F	Davis
0x93D9	Deacon
0x93E5	Dean
0x93FB	Debelk
0x943D	Delta
0x942B	Dennis
0x93EA	Diaz
0x93EF	Dick
0x93F4	Dickel
0x9416	Dietrich
0x9407	Dillan
0x940E	Dingess
0x93E0	Dino
0x948A	Dog
0x947D	Dohmer
0x948E	Donald
0x9495	Donovan
0x9476	Dossun
0x935D	Douglas
0x9484	Doyle
0x94A3	Dreyfuss
0x949D	Dreyn
0x9432	Duke
0x9437	Duran
0x9365	Dustin
0x8E3B	Ed
0x8E4A	Edberg
0x8E36	Eddy
0x8E44	Edgar
0x8E51	Edmond
0x8E58	Edward
0x8E3E	Edwin
0x8E75	Elliot
0x8E81	Elvis
0x8E6E	Emilio
0x8E65	Emmerson
0x8E8E	Ende
0x8E87	Entsuo
0x8E7C	Eric
0x8E2D	Estebess
0x8E5F	Evans
0x96F1	Feldman
0x96E9	Fincher
0x96E4	Fink
0x96CE	Fisher
0x973C	Flipp
0x96F9	Folk
0x9727	Foote
0x9706	Ford
0x96FE	Fordham
0x970B	Formine
0x9717	Forrest
0x971F	Forward
0x9713	Fox
0x972D	Frank
0x9733	Franklin
0x9742	Freddy
0x9752	Fredo
0x9749	Fredrick
0x8FA9	Galsia
0x8FB0	Garcon
0x8F7C	Gardener
0x8F85	Garlic
0x8FA4	Gash
0x8F9D	Gaston
0x9013	Gavin
0x90EF	Gayley
0x8F90	Geist
0x90F6	Gelt
0x9269	George
0x9239	Gerald
0x9278	Geralt
0x90FB	Gerhart
0x90E9	Gerry(M)
0x900C	Gibson
0x8FFD	Gizze
0x90CC	Glynn
0x912A	Goazer
0x9131	Godan
0x913E	Gonzalez
0x9096	Goodman
0x909E	Goofy
0x9083	Goose
0x9137	Gordon
0x958A	Gotoh
0x90B9	Great
0x90A4	Greene
0x90C7	Greg
0x90BF	Gregory
0x90B3	Grimm
0x90AB	Gryphon
0x9021	Guilfort
0x9003	Guinness
0x9019	Gunther
0x908F	Gustaf
0x8F8C	Guy
0x8F96	Guyler
0x9089	Gwynn(M)
0x953C	Hacker
0x9543	Hackman
0x9522	Hahn
0x9561	Hal
0x9552	Hamilton
0x9578	Hannibal
0x9573	Hans
0x9565	Harold
0x955B	Harry
0x9825	Hawk
0x97D0	Hector
0x952E	Heimer
0x9527	Heizen
0x97E2	Henry
0x967E	Heuler
0x95FC	Hino
0x981F	Hogan
0x97DC	Honma
0x956C	Howard
0x9535	Howell
0x954B	Hudson
0x966D	Huey
0x9677	Hughes
0x9672	Hugo
0x9581	Humphery
0x8DAF	Ijuran
0x8DB6	Indy
0x8D43	Ironside
0x924C	Jack
0x9251	Jadd
0x922B	James
0x9256	Jank
0x9226	Jean(M)
0x9221	Jeek
0x9231	Jeffery
0x9240	Jerry
0x9270	Johnson
0x925B	Jordan
0x9832	Jose
0x99C5	Joseph
0x9262	Joster
0x99E1	Jun
0x960A	Junich
0x8F05	Kaesal
0x8EF8	Kaizalt
0x8F67	Kaltas
0x8F5B	Karama
0x8F1A	Kassim
0x8F28	Kassing
0x8F30	Katz
0x8F35	Kaufman
0x8F62	Kaul
0x8EC8	Kaus
0x8EF1	Kauser
0x8ECD	Kauts
0x8F0C	Kazan
0x8FBC	Keaton
0x90DE	Kelly
0x90E4	Kent
0x90D8	Kevin
0x8FC3	Kidd
0x8FB7	Kies
0x8FED	Kimberly
0x8FF6	Kimble
0x8FE4	Kingston
0x8FC8	Kinnison
0x8EC3	Kirk
0x907D	Klaus
0x9109	Kojak
0x9125	Kong
0x93D3	Kouji
0x9056	Kris(M)
0x9A52	Lambert
0x9A17	Lamos
0x9A3D	Landis
0x9A49	Landless
0x9A2A	Lang
0x9A2F	Langley
0x99D2	Lark
0x9A1D	Laurie(M)
0x9A6A	Leed
0x9AF9	Leon
0x9AE9	Leonard
0x9AF1	Leopold
0x9AB6	Leroy
0x9AAA	Levy
0x9AC6	Lewis
0x9A9A	Lindory
0x99DB	Linus
0x9A7E	Lithgow
0x9A93	Little
0x9B21	Loggins
0x9A5A	Lombardy
0x9A63	Lovell
0x9B4E	Lovell(2)
0x9B1C	Loyd
0x9ABC	Luke
0x9AC1	Luth
0x98B6	Mac
0x98BA	Mack
0x98BF	Maclean
0x98C7	Macleedy
0x98EA	Madison
0x98F2	Mahoney
0x990D	Malcom
0x9898	Mallo
0x991B	Malton
0x9888	Marbelik
0x98FA	Marco
0x9900	Marcos
0x9868	Mark
0x9907	Marko
0x9874	Martin
0x9914	Martin(2)
0x986D	Martis
0x987B	Marty
0x9891	Marvel
0x98E5	Matt
0x98DD	Maxwell
0x9956	Mayard
0x98D0	Mazelon
0x995D	Mendoza
0x98A3	Michael
0x9929	Michelle(M)
0x9922	Mickey
0x97D7	Miho
0x989E	Mike
0x98B0	Miles
0x938C	Mitsuru
0x997E	Mobile
0x9979	Moby
0x9995	Moleno
0x99A4	Montana
0x9932	Moor
0x9965	Morgan
0x999C	Moroder
0x9985	Morris
0x998C	Morrison
0x98D8	Mort
0x9972	Morton
0x996C	Moses
0x9881	Murphy
0x9937	Musashi
0x994F	Mussol
0x993F	Mustafa
0x9947	Mustang
0x98AB	Myer
0x94B2	Nagel
0x94B8	Nash
0x94BD	Naval
0x94CB	Neal
0x94C3	Needham
0x94D0	Neilson
0x94FF	Neilson(2)
0x9507	Neizan
0x950E	Nelson
0x94F8	Neuman
0x94D8	Nicholai
0x94E1	Nicholas
0x94EA	Nicky
0x94F0	Niessel
0x94AC	Nigel
0x951B	Norman
0x9515	Notom
0x8EAD	Obanon
0x8E9A	Ohsa
0x8EB4	Oliver
0x8E93	Orwell
0x8EA8	Otto
0x8E9F	Ozbourne
0x9669	Pad
0x9650	Paddison
0x9628	Parker
0x962F	Parkins
0x9637	Partis
0x9645	Pascal
0x964C	Pat
0x9661	Patrick
0x9659	Patrish
0x985D	Paul
0x9811	Pepello
0x9819	Perry
0x96B1	Peter
0x96D5	Phillip
0x96DD	Philoh
0x96B7	Pierre
0x96C8	Pipin
0x96BE	Pix
0x96C2	Pizza
0x963E	Powell
0x97C7	Presence
0x902A	Quarter
0x9A01	Radish
0x99E5	Ragh
0x9A24	Ralph
0x9A10	Ramsey
0x9A44	Rand
0x9A37	Randy
0x9A08	Raphael
0x99EA	Rascal
0x99F6	Rassel
0x99FD	Rat
0x9AD4	Ray
0x99D7	Raz
0x9A6F	Reeves
0x9AE1	Reymond
0x9AD8	Reynolds
0x9AFE	Rhode
0x9A76	Ricardo
0x9A86	Richard
0x9A8E	Rick
0x9AA2	Rivaldi
0x9AAF	Rivera
0x9B38	Robert
0x9B55	Roberto
0x9B3F	Robin
0x9B45	Robinson
0x9B2F	Rockwell
0x9B29	Roger
0x9B04	Roland
0x9B10	Rollins
0x9B0B	Rory
0x9B18	Roy
0x9ACC	Rudolph
0x99F1	Rush
0x914D	Saizo
0x9175	Sam
0x916F	Sammy
0x9179	Samson
0x9192	Sanders
0x9180	Sarandon
0x9168	Sasuke
0x9159	Sauzant
0x9161	Sazabi
0x91E6	Scheider
0x91F5	Schne
0x91CD	Scion
0x927F	Scott
0x91AC	Seagal
0x9203	Sean
0x931F	Selec
0x9312	Serge
0x9304	Sergey
0x930B	Sergio
0x91EF	Shaft
0x91C6	Shaker
0x91DF	Shalot
0x920E	Shef
0x91C0	Shern
0x9208	Short
0x91FB	Shorter
0x91BA	Shynn
0x91D3	Sid
0x91D7	Simmons
0x9153	Simon
0x92F8	Slater
0x92F1	Smokey
0x92EB	Smyth
0x933E	Songas
0x92E3	Spenser
0x92DC	Spider
0x92D6	Spike
0x928D	Stan
0x929E	Stanley
0x9285	Starjon
0x92A6	Steele
0x9292	Stein
0x92B5	Steve
0x92BB	Steven
0x92AD	Stewart
0x9298	Stien
0x92C2	Sting
0x92C8	Stone
0x9350	Straw
0x92CE	Stryker
0x9189	Sullivan
0x9147	Sykes
0x939A	Takaaki
0x95B9	Takeda
0x9349	Takkat
0x93BC	Taylor
0x93C3	Ted
0x93C7	Teddy
0x93CD	Terry
0x9443	Thomas
0x946D	Thompson
0x93B8	Tim
0x945A	Tom
0x9454	Tommy
0x9387	Tomo
0x944F	Tony
0x944A	Toto
0x945E	Tranzam
0x9466	Trevor
0x97ED	Vader
0x9B6F	Van Berg
0x92FF	Vega
0x9691	Victor
0x9B78	Victor(2)
0x96A9	Vincent
0x9B7F	Vincent(2)
0x9B87	Vinson
0x9858	Volt
0x9840	Voyle
0x8E03	Wally
0x8E18	Walter
0x8E09	Walther
0x8DFB	Warssel
0x9B5D	Watt
0x8DEE	Weber
0x9B62	Weiss
0x8DF4	Welles
0x8DC3	Whitman
0x982A	Whitman(2)
0x8DBB	Whitney
0x9B68	Wilder
0x8DD1	William
0x8DDF	William(2)
0x8DCB	Willy
0x8DD9	Wings
0x8DE7	Winter
0x8E1F	Woody
0x8E11	Worrak
0x91A5	Xavier
0x99AC	Yacob
0x99B2	Yashim
0x99CC	Yohan
0x99B9	Young
0x99BF	Yugos
0x919A	Zack
0x919F	Zappa
0x9333	Zelig
0x9339	Zell
0x932A	Zemekkis
0x9325	Zett
0x9246	Ziggy
0x9213	Zingle
0x9345	Zok

; Female (Human/Demihuman)
0x9BD7	Agnes
0x9B9A	Ai
0x9BD0	Aileen
0x9C2E	Aleena
0x9C7E	Alem
0x9BCA	Alena
0x9C70	Aleutte
0x9C78	Alfon
0x9B95	Alia
0x9C35	Alia(2)
0x9C54	Alice
0x9C4D	Alicia
0x9C41	Aliel
0x9C3A	Aliess
0x9C47	Alisa
0x9C5A	Alison
0x9C61	Alissa
0x9C68	Alticia
0x9C83	Alyn
0x9C16	Amalyth
0x9C23	Amanda
0x9D0C	Amy
0x9C07	Anessa
0x9CAC	Anfinnu
0x9C92	Angela
0x9C99	Angelica
0x9C8C	Angie
0x9BFB	Anice
0x9E82	Anil
0x9BF5	Anita
0x9C01	Anita(2)
0x9CBB	Anly
0x9C88	Ann
0x9CA2	Anna
0x9C0E	Annette
0x9BEF	Annie
0x9CA7	Annu
0x9BE2	Apple
0x9BBC	Aqua
0x9BC1	Aquarius
0x9BDD	Aska
0x9BE8	Athena
0x9CB4	Aubern
0x9C2A	Aya(F)
0x9C1E	Ayla
0x9BA9	Aylan
0x9BA4	Aymy
0xA362	Babs
0xA37E	Bamy
0xA353	Barbara
0xA383	Barie
0xA34C	Bashia
0xA346	Bassa
0xA4D1	Beatrice
0xA50A	Bel
0xA4EB	Belinda
0xA4E5	Bella
0xA4F3	Belle
0xA4DA	Bess
0x9D8C	Beth
0xA4DF	Betty
0xA46E	Blanche
0xA927	Bonita
0xA541	Bonny
0xA476	Brigitte
0xA47F	Brooke
0x9E45	Camilla
0x9E3D	Camillu
0x9EAA	Candy
0x9E4D	Carmen(F)
0x9EA4	Carol
0x9E9B	Caroline
0x9E94	Carrie
0x9F2C	Casy
0x9E87	Catty
0xA19D	Cecillia
0xA1C2	Celeste
0xA1B3	Celica
0xA21F	Chappy
0xA211	Cheek
0xA204	Cherry
0xA010	Cheryl
0x9F7B	Chibi
0xA217	Chipper
0xA082	Cindy
0x9F00	Claire
0x9ED3	Clarice
0x9EC4	Claudia
0x9F07	Clover
0x9F6C	Coleen
0x9F65	Colled
0x9F60	Coly
0x9F5A	Comet
0x9F4E	Cona
0x9F53	Connie
0x9EBD	Cookie
0x9F40	Cosmos
0x9F47	Cotton
0x9EDB	Cream
0xA29E	Daisy
0xA1FA	Dalia
0xA2A4	Debola
0xA28E	Deen
0xA2B1	Demetel
0xA2AB	Demmy
0xA293	Diana
0xA1EC	Dianna
0xA1F3	Dianne
0xA299	Dion
0xA2CF	Domy
0xA2CA	Donu
0xA2C5	Dora
0xA2D9	Dorothy
0xA2D4	Drew
0xA2B9	Dunne
0x9D43	Eban
0x9D1D	Eclair
0x9CC5	Eda
0x9CC0	Eeta
0x9BAF	Eileen
0x9D10	Eileen(2)
0x9B9D	Einess
0x9B8E	Elaine
0x9DA7	Eldeel
0x9D91	Elice
0x9CEF	Eliza
0x9D81	Eliza(2)
0x9D97	Ell
0x9D72	Ellanore
0x9DBF	Ellen
0x9DB2	Ellenu
0x9CF5	Ellia
0x9D6B	Ellize
0x9D66	Elly
0x9D9B	Ellza
0x9DB9	Elnoa
0x9DA1	Eltia
0x9D5F	Emilia
0x9D59	Emily
0x9D4E	Emma
0x9D53	Emmay
0x9D33	Ena
0x9D37	Eneshio
0x9DC5	Enya
0x9D17	Eolia
0x9DAE	Ere
0x9D7B	Erica
0x9D24	Esmere
0x9D2B	Etoille
0x9DCE	Eunice
0x9D3F	Eva
0x9DCA	Eva(2)
0x9D48	Evanu
0x9CEB	Eve
0xA405	Fanita
0xA421	Feria
0xA41D	Fey
0xA411	Fianna
0xA418	Fifs
0xA40C	Fina
0xA427	Flan
0xA42C	Flanny
0xA451	Flonne
0xA458	Flora
0xA45E	Florence
0xA43C	Fran
0xA441	Frigia
0xA448	Fristine
0x9E60	Galuda
0xA08D	Geena
0xA20B	Geena(2)
0xA0BD	Gemini
0xA0C4	Gerry(F)
0xA13B	Ginger
0x9F1A	Glenda
0x9F21	Gloria
0x9F14	Grace
